"","ID","XCOO","YCOO","ELEV","COUN","ASP","GENLAN","TOPO","GROUNDVEG","TREELAY","VEG_ZONE","Date","SAMP","SPECIES","LITO","C_PAR","TOPC","WEATH","TEMP","Ag","Al","As","Au","B","Ba","Be","Bi","Ca","Cd","Co","Cr","Cu","Fe","Hg","K","La","Mg","Mn","Mo","Na","Ni","P","Pb","Pd","Pt","Rb","S","Sb","Sc","Se","Si","Sr","Th","Tl","U","V","Y","Zn"
"17",19,514744,7584686,280,"FIN","S","PLAIN","CONV","SHRUBS","PINE","BOREAL_FOREST",950703,"DRMLRKK","PSSC",31,"TILL&SAP",30,"DRY",15,0.041,213,0.153,NA,0.25,18.7,0.015,0.009,2460,0.111,0.31,0.53,4.62,212,0.078,4010,0.35,779,729,0.058,46.1,2.96,805,4.15,NA,NA,21.2,745,0.037,0.05,0.4,199,9.26,0.022,0.06,0.006,1.37,0.05,34.7
"18",20,710132.7,7566825,210,"RUS","SE","RIDGE","CONCLOW","BLUEBERRY","BIRCH","BOREAL_FOREST",950823,"Pavlov","HSDC",1,"TILL",35,"RAIN",12,0.039,100,0.119,NA,1.11,17.3,0.015,0.012,2420,0.153,0.4,0.5,9.35,148,0.042,5430,0.35,1120,698,0.104,345,7.01,1740,1.94,NA,NA,18.8,879,0.064,0.05,0.4,120,9.71,0.007,0.014,0.004,1.19,0.05,55.3
"19",21,439900,7647000,280,"NOR","W","FLAT","UPBRLOW","WHITE_LICHEN","BIPI","FOREST_TUNDRA",950716,"JHOJTV","PSDC",1,"TILL",23,"DRY",17,0.031,239,0.167,NA,1.92,28.9,0.015,0.005,3040,0.106,0.25,0.46,4.06,142,0.065,3250,0.35,982,406,0.053,27.9,2.7,1100,4.01,NA,NA,10.3,893,0.055,0.05,0.4,161,9.88,0.009,0.012,0.006,1.06,0.05,39.3
"20",22,734135.1,7667800,100,"RUS","FLAT","PLAIN","TOP","SHRUBS","BIRCH","BOREAL_FOREST",950819,"Smirnov","HSDC",21,"TILL",44,"MIX",12,0.049,223,0.169,NA,2,19.9,0.015,0.015,2410,0.124,0.67,0.93,12.3,278,0.049,4870,0.35,1210,411,0.093,121,12.8,1600,2.8,NA,NA,11.7,972,0.056,0.05,0.4,226,17,0.022,0.01,0.007,6.07,0.05,36.9
"21",23,787098.1,7496088,140,"RUS","FLAT","RIDGE","TOP","BLUEBERRY","SPRBI","BOREAL_FOREST",950716,"Katanaev","HSDC",1,"TILLSAP",45,"DRY",14,0.091,806,0.403,NA,2.29,25.1,0.04,0.028,2740,0.156,1.61,0.97,37.1,585,0.068,4760,1.6,981,385,0.205,75.8,33,1520,3.96,NA,NA,15.1,981,0.051,0.05,0.4,365,39.9,0.035,0.038,0.029,5.61,0.4,33.5
"22",24,624400,7538200,160,"RUS","FLAT","PLAIN","FLAT","WHITE_LICHEN","PIBI","BOREAL_FOREST",950626,"Pavlov","PSDR",51,"FLUVG",41,"RAIN",16,0.073,219,0.142,NA,0.25,22.8,0.015,0.037,2770,0.117,0.45,0.67,8.56,229,0.039,6650,0.35,1200,743,0.104,50.8,6.82,1720,3.22,NA,NA,33.1,1030,0.049,0.05,0.4,220,13.1,0.02,0.048,0.008,2.36,0.05,39.9
"23",25,627700,7481300,280,"RUS","FLAT","PLAIN","TERR","WHITE_LICHEN","BISPR","BOREAL_FOREST",950812,"Smirnov","HSDC",1,"FLUVG",NA,"RAIN",13,0.031,148,0.132,NA,1.28,16.5,0.015,0.002,2450,0.103,0.27,0.55,5.82,172,0.048,4450,0.35,1170,400,0.11,39.3,3.83,1330,2.15,NA,NA,8.82,908,0.02,0.05,0.4,169,10.5,0.014,0.016,0.007,1.29,0.05,36.7
"24",26,386646.3,7541803,300,"FIN","S","PLAIN","CONCLOW","","","",950827,"JA","HSSC",1,"TILL",36,"RAIN",12,0.021,123,0.124,NA,1.63,15.4,0.015,0.01,2250,0.093,0.34,0.53,5.07,141,0.053,4060,0.35,892,309,0.082,33.3,2.35,1350,3.05,NA,NA,19.7,739,0.029,0.05,0.4,136,7.29,0.011,0.047,0.008,1.3,0.05,31.9
"25",27,713891.9,7739709,160,"RUS","SW","PLAIN","CONVLOW","SHRUBS","BIRCH","DWARF_SHRUB_TUNDRA",950815,"Semenov","PSSC",9,"SAP",30,"DRY",12,0.048,190,0.193,NA,1.33,22,0.015,0.012,2500,0.083,0.78,0.88,15.2,303,0.072,5330,0.35,1390,220,0.053,242,18.8,1420,4.56,NA,NA,6.12,799,0.054,0.05,0.4,169,11.8,0.019,0.016,0.01,2.56,0.05,25.2
"26",28,579500,7654700,110,"RUS","FLAT","PLAIN","LOWBRLOW","WHITE_LICHEN","PINE","BOREAL_FOREST",950824,"Smirnov","HSDR",20,"TILL",32,"DRY",13,0.035,144,0.197,NA,0.65,11.2,0.015,0.002,2050,0.075,0.41,0.53,8.3,191,0.038,4260,0.35,1030,491,0.049,75.8,7.81,1260,2.22,NA,NA,13.2,831,0.032,0.05,0.4,131,4.3,0.011,0.029,0.002,0.97,0.05,24.5
"27",31,729574.9,7461953,100,"RUS","S","PLAIN","LOWBRLOW","SHRUBS","PIBI","BOREAL_FOREST",950705,"Smirnov","HSSC",1,"TILL",NA,"DRY",12,0.131,1330,0.519,NA,1.61,22.4,0.16,0.108,2410,0.252,1.41,1.55,28,1580,0.054,4680,0.8,901,509,0.259,83.6,26.3,1600,29.4,NA,NA,23.3,1060,0.229,0.2,0.4,318,13.9,0.025,0.159,0.025,23.5,0.3,51.6
"28",34,454318.7,7582986,275,"FIN","NE","FLA PLAIN","CONVLOW","SHRUBS","","BOREAL_FOREST",950727,"MLR","HSSC",51,"TILL&SAP",45,"DRY",14,0.02,138,0.111,NA,1.04,12.7,0.015,0.002,2290,0.066,0.19,0.5,5.93,151,0.043,4030,0.35,1220,427,0.105,38.4,1.95,1460,2.46,NA,NA,16.2,804,0.023,0.05,0.4,126,4.24,0.009,0.025,0.011,1.02,0.05,50.2
"29",35,768134.4,7543219,170,"RUS","W","PLAIN","FLATRUG","MOSS","SHRUBS","",950726,"Semenov","HSDC",20,"TILL",35,"DRY",18,0.142,450,0.412,NA,1.92,18.3,0.015,0.029,2360,0.212,2.23,0.9,49.5,614,0.072,4670,0.35,1000,322,0.237,80.7,47.8,1230,2.85,NA,NA,11.8,947,0.049,0.05,0.4,241,92.9,0.002,0.044,0.031,3.6,0.2,29.2
"30",36,487156,7769501,280,"NOR","W","RIDGE","CONVLOW","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950723,"OJGKTV","HSSC",32,"FLUVG",39,"MIX",8,0.021,291,0.119,NA,1.92,35.1,0.015,0.002,4410,0.06,1.02,0.45,5.25,323,0.06,3940,0.35,1300,191,0.084,42.8,3.59,1110,2.56,NA,NA,4.71,864,0.025,0.05,0.4,223,25,0.006,0.015,0.01,1.18,0.05,28.5
"31",37,677976.1,7636659,200,"RUS","E","RIDGE","TOP","MOSS","BIPI","BOREAL_FOREST",950818,"Semenov","HSDC",22,"FLUVG",43,"DRY",12,0.039,128,0.177,NA,1.47,17.4,0.015,0.002,3110,0.079,0.62,0.65,11.9,192,0.048,4800,0.35,953,396,0.069,65.3,13.7,1500,2.1,NA,NA,10.9,979,0.022,0.05,0.4,124,9.14,0.006,0.017,0.01,1.36,0.05,29.1
"32",38,439124.9,7533557,240,"FIN","W","PLAIN","CONVLOW","MOSS","BISPRPI","BOREAL_FOREST",950829,"RPMA","HSSC",51,"SAP",31,"DRY",10,0.057,115,0.084,NA,0.25,16.4,0.015,0.002,2180,0.087,0.26,0.43,9.1,128,0.038,3390,0.35,1010,723,0.059,22.5,1.31,1120,3.16,NA,NA,23.6,695,0.032,0.05,0.4,108,4.53,0.009,0.018,0.007,0.91,0.05,40.2
"33",40,458010,7741700,310,"NOR","NW","SLOPE","UPBRLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950720,"JHOJGK","PSDC",32,"TILL",61,"DRY",10,0.015,141,0.073,NA,0.94,21.1,0.015,0.009,2700,0.083,0.31,5.94,4.09,118,0.046,4450,0.35,1190,412,0.115,45.2,6.22,1050,2.91,NA,NA,11.5,793,0.03,0.05,0.4,91.5,10.1,0.017,0.012,0.002,0.89,0.05,35.8
"34",41,520241.7,7555798,260,"FIN","S","FLA PLAIN","CONCLOW","","","",950614,"MLRMAJA","HSSC",7,"TILL",NA,"DRY",20,0.023,208,0.13,NA,1.2,19.3,0.015,0.002,2480,0.068,0.25,0.66,5.33,200,0.058,3870,0.35,926,501,0.065,29.1,2.52,1060,3.44,NA,NA,11.9,850,0.022,0.05,0.4,194,6.12,0.002,0.043,0.013,1.51,0.05,32.7
"35",42,586431,7745130,90,"NOR","FLAT","LOWMO","FLATTER","SHRUBS","BIRCH","FOREST_TUNDRA",950731,"GKJHOJ","PSSC",20,"FLUV",49,"MIX",17,0.06,116,0.223,NA,1.25,22.9,0.015,0.002,3010,0.072,0.52,0.6,10.4,212,0.066,3650,0.35,1140,217,0.065,82,12,903,3.19,NA,NA,11.4,891,0.04,0.05,0.4,110,11.1,0.013,0.016,0.009,1.25,0.05,25.8
"36",43,655691.5,7673270,250,"RUS","SE","RIDGE","CONVLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950816,"Pavlov","HSSR",52,"TILL",32,"MIX",18,0.04,125,0.554,NA,1.76,16.3,0.015,0.005,2450,0.111,2.01,1.27,33.9,424,0.055,4620,0.35,1240,348,0.065,107,56.5,1480,2.86,NA,NA,8.66,1110,0.047,0.05,0.4,161,8.3,0.002,0.021,0.008,1.7,0.05,32.9
"37",46,512345,7724028,255,"FIN","W","PLAIN","CONVMED","SHRUBS","BIRCH","FOREST_TUNDRA",950704,"JARKP","HSSC",20,"TILL",30,"DRY",15,0.014,101,0.11,NA,0.96,20.5,0.015,0.002,2100,0.051,0.27,0.38,5.76,63.6,0.045,3850,0.35,1200,423,0.039,91.8,3.37,1330,1.66,NA,NA,10.1,870,0.019,0.05,0.4,77.3,8.98,0.002,0.009,0.006,0.66,0.05,32.5
"38",47,600600,7816920,220,"NOR","N","DEEPVAL","UPBRFLAT","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950728,"GKOJTV","HSSC",9,"TILL",42,"RAIN",10,0.028,781,0.227,NA,3.04,24.8,0.015,0.002,2530,0.065,0.46,1.17,6.99,607,0.081,3650,0.35,1290,547,0.073,109,5.21,1280,3.13,NA,NA,4.42,905,0.131,0.05,0.4,560,10.5,0.106,0.019,0.03,1.96,0.2,30.3
"39",48,486255.6,7631866,225,"FIN","E","PLAIN","CONCLOW","SHRUBS","PIBI","BOREAL_FOREST",950629,"JARP","HSDR",31,"TILL",55,"RAIN",8,0.026,126,0.161,NA,1.78,18.8,0.015,0.002,2930,0.072,0.26,0.43,6.34,121,0.049,4320,0.35,1290,657,0.072,79.7,3.62,1190,2.12,NA,NA,12.2,1010,0.033,0.05,0.4,135,7.35,0.004,0.035,0.009,1.03,0.05,46.3
"40",49,418233.4,7570741,340,"FIN","N","FLA PLAIN","CONVLOW","","","",950827,"JA","HSDR",1,"TILL",41,"RAIN",12,0.026,149,0.101,NA,0.93,19,0.015,0.015,2790,0.1,0.22,0.6,3.86,124,0.063,4770,0.35,1010,296,0.033,76,1.91,1220,5.1,NA,NA,17.5,834,0.034,0.05,0.4,148,11.8,0.019,0.031,0.005,1.09,0.05,51.2
"41",50,586800,7672750,75,"NOR","SW","RIDGE","BRUP","SHRUBS","PIBI","BOREAL_FOREST",950731,"CRTF","HSDC",20,"TILL",15,"DRY",23,0.036,148,0.265,NA,0.25,14.8,0.015,0.002,1880,0.073,0.63,0.57,11.1,202,0.049,4650,0.35,1150,426,0.054,69,14.2,1280,2.08,NA,NA,13.9,961,0.041,0.05,0.4,168,6.25,0.002,0.031,0.005,0.92,0.05,31.4
"42",51,461915.6,7416106,180,"FIN","E","RIDGE","CONCLOW","","","",950710,"VGMA","HSSC",7,"TILL",40,"DRY",13,0.026,198,0.16,NA,0.97,15,0.015,0.004,2390,0.09,0.24,1.21,5.35,179,0.053,3980,0.35,765,948,0.128,50.5,1.74,1320,5.7,NA,NA,18.3,901,0.051,0.05,0.4,189,3.7,0.012,0.072,0.015,2.13,0.05,34.1
"43",52,383147.8,7571441,330,"FIN","N","PLAIN","CONCLOW","SHRUBS","PIBI","BOREAL_FOREST",950802,"MLR","HSSC",1,"TILL",41,"DRY",24,0.02,95,0.067,NA,0.68,12.2,0.015,0.002,2240,0.044,0.12,0.36,4.45,96,0.056,3870,0.35,1070,544,0.064,55.5,1.23,1450,2.38,NA,NA,12.3,777,0.019,0.05,0.4,114,4.95,0.002,0.025,0.007,0.99,0.05,24.2
"44",53,532336.8,7509817,280,"FIN","NE","PLAIN","CONCLOW","","","",950821,"RPAV","HSSC",1,"TILL",46,"RAIN",9,0.022,122,0.112,NA,1.17,14.6,0.015,0.02,2740,0.069,0.18,0.47,3.99,106,0.058,3280,0.35,888,406,0.066,54,1.8,777,2.98,NA,NA,14,778,0.033,0.1,0.4,311,5.12,0.021,0.042,0.008,0.89,0.05,54.3
"45",54,618500,7709600,50,"NOR","FLAT","RIDGE","TOP","SHRUBS","PIBI","BOREAL_FOREST",950730,"CRTF","PSRD",20,"FLUV",80,"DRY",25,0.062,196,0.763,NA,0.74,10,0.015,0.032,2350,0.178,4.18,2.67,75,973,0.052,5780,0.35,1260,435,0.065,92.7,113,1360,3.83,NA,NA,11.7,1190,0.045,0.05,0.4,281,4.87,0.028,0.032,0.012,1.88,0.05,33.7
"46",55,764320.9,7535909,260,"RUS","N","HIMO","LOWBRLOW","SHRUBS","PINE","BOREAL_FOREST",950726,"Semenov","PSSC",82,"TILLSAP",40,"DRY",18,0.152,433,0.285,NA,0.99,39.2,0.04,0.059,3290,0.298,1.62,0.86,43.8,370,0.035,6780,1,1110,408,0.293,378,34.1,1300,4.04,NA,NA,14.2,1050,0.058,0.05,0.4,235,382,0.048,0.032,0.028,3.37,0.2,50.1
"47",56,701379.3,7636841,140,"RUS","SW","SLOPE","LOWBRLOW","LICHEN","PIBI","BOREAL_FOREST",950827,"Smirnov","HSDR",22,"TILLSAP",30,"MIX",10,0.052,131,0.144,NA,0.58,23.9,0.015,0.021,2250,0.102,0.57,0.53,11.3,160,0.032,4810,0.35,1130,465,0.127,119,11.3,1500,2.07,NA,NA,14.2,888,0.024,0.05,0.4,153,8.91,0.015,0.023,0.006,1.28,0.05,35.1
"48",57,615100,7688900,110,"RUS","FLAT","RIDGE","TOP","SHRUBS","PIBI","BOREAL_FOREST",950825,"Pavlov","PSSR",52,"FLUVG",60,"MIX",14,0.065,164,1.07,NA,0.73,14.3,0.015,0.06,2270,0.254,3.99,2.67,71.4,786,0.039,5540,0.35,1000,495,0.087,254,112,1220,5.19,NA,NA,13.8,1170,0.214,0.05,0.4,225,6.56,0.019,0.034,0.009,1.72,0.05,35.4
"49",58,627200,7822400,180,"NOR","E","LOWMO","CONCLOW","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950728,"GKOJTV","PSSC",9,"TILLSA",42,"RAIN",10,0.044,251,0.22,NA,2.17,24,0.015,0.026,3320,0.097,0.38,0.72,8.73,309,0.088,4810,0.35,1720,419,0.069,197,7.42,1480,7.28,NA,NA,2.91,928,0.07,0.05,0.4,264,15.6,0.03,0.017,0.02,2.19,0.05,46.5
"50",61,440300,7841200,40,"NOR","E","LOWMO","CONCLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950712,"GKOJPCTV","HSSC",10,"BEDR",NA,"MIX",4,0.019,330,0.12,NA,4.28,18.1,0.015,0.015,2810,0.03,0.29,0.63,3.98,489,0.123,3930,1,1660,185,0.084,248,1.7,1250,2.37,NA,NA,7.37,851,0.031,0.05,0.4,290,16.4,0.102,0.028,0.052,1.4,0.3,17.8
"51",62,793977.9,7662610,180,"RUS","FLAT","RIDGE","TOP","SHRUBS","BIRCH","FOREST_TUNDRA",950727,"Pavlov","PSSC",4,"TILL",41,"DRY",19,0.045,190,0.133,NA,1.19,31.1,0.015,0.031,2780,0.09,0.7,0.68,14,264,0.04,5030,0.35,1330,277,0.082,86.5,14.4,1360,3.41,NA,NA,5.85,1010,0.047,0.05,0.4,210,10.7,0.031,0.01,0.013,2.86,0.05,29.2
"52",63,612200,7546100,160,"RUS","FLAT","PLAIN","TOPFLAT","SHRUBS","PIBI","BOREAL_FOREST",950802,"Smirnov","HSDC",1,"FLUVG",38,"DRY",20,0.03,313,0.161,NA,0.93,12.9,0.015,0.024,2070,0.082,0.38,1.15,7.14,368,0.054,3900,0.35,1180,545,0.079,78.1,4.79,1430,2.75,NA,NA,16.3,894,0.027,0.05,0.4,299,8.77,0.047,0.04,0.016,1.81,0.1,32.7
"53",64,553150,7749550,280,"NOR","FLAT","PLAIN","TERR","EMPETRUM","BIRCH","DWARF_SHRUB_TUNDRA",950725,"JHGKTV","PSSC",51,"FLUVG",26,"MIX",8,0.05,108,0.116,NA,0.67,33.9,0.015,0.017,3230,0.105,0.42,0.43,7.22,177,0.042,4590,0.35,1270,421,0.069,61.8,6.61,1440,3.49,NA,NA,5.57,939,0.023,0.05,0.4,274,10.6,0.015,0.01,0.008,0.99,0.05,30.5
"54",66,694049,7403132,60,"RUS","FLAT","FLAT","FLAT","LICHEN","PIBI","BOREAL_FOREST",950709,"Smirnov","PSDR",1,"FLUVG",13,"DRY",15,0.039,231,0.103,NA,0.58,14.5,0.015,0.029,2700,0.098,0.39,0.61,7.65,212,0.04,3760,0.35,714,660,0.074,66.3,4.93,872,4.3,NA,NA,18.2,785,0.064,0.05,0.4,213,6.01,0.025,0.035,0.011,1.68,0.05,29
"55",67,684311.1,7624313,110,"RUS","FLAT","PLAIN","TOP","LICHEN","PIBI","BOREAL_FOREST",950827,"Smirnov","HSDC",22,"TILL",36,"RAIN",12,0.077,211,0.175,NA,0.6,14.5,0.015,0.02,2090,0.113,0.62,0.58,11.5,157,0.04,4250,0.35,1070,428,0.06,199,11.8,1310,1.94,NA,NA,12.7,887,0.041,0.05,0.4,144,7.09,0.009,0.025,0.007,1.13,0.05,31.4
"56",69,784063.4,7540748,510,"RUS","NE","HIMO","CONVLOW","SHRUBS","SPARCEBI","FOREST_TUNDRA",950726,"Pavlov","HSSC",82,"TILLSAP",17,"DRY",15,0.169,532,0.398,NA,0.95,24.8,0.05,0.084,2280,0.281,1.9,0.97,46.9,541,0.074,4360,1.3,918,353,0.285,170,46.1,1490,3.56,NA,NA,10.6,974,0.068,0.05,0.4,292,72.9,0.081,0.031,0.029,4.09,0.2,28.8
"57",70,573370,7458088,220,"FIN","FLAT","PLAIN","FLAT","BLUEBERRY","PINE","BOREAL_FOREST",950711,"RPVM","HSSC",1,"TILL",35,"DRY",10,0.028,173,0.117,NA,0.61,17.2,0.015,0.023,2650,0.097,0.24,0.51,4.81,148,0.05,4070,0.35,1070,557,0.078,54.5,2.27,1290,3.34,NA,NA,22,855,0.034,0.05,0.4,181,5.27,0.022,0.076,0.008,1.22,0.05,61.4
"58",72,666136.6,7730581,20,"RUS","NW","SLOPE","LOWBRLOW","SHRUBS","BIRCH","FOREST_TUNDRA",950823,"Smirnov","PSDC",21,"TILL",39,"MIX",10,0.043,166,0.343,NA,1.03,7.37,0.015,0.014,1940,0.121,3.65,3.05,49.1,912,0.048,5760,0.35,1720,137,0.059,403,99,1270,2.23,NA,NA,8.55,1140,0.026,0.05,0.4,260,10.7,0.021,0.014,0.008,1.82,0.05,28.3
"59",73,717990.4,7610921,240,"RUS","SW","RIDGE","LOWBRLOW","SHRUBS","SPRBI","BOREAL_FOREST",950728,"Semenov","HSDC",20,"TILL",40,"DRY",18,0.108,163,0.24,NA,1.45,17.4,0.015,0.027,2570,0.168,1.4,0.58,28,218,0.061,4410,0.35,1080,362,0.144,75.8,30.1,1500,2.93,NA,NA,12.4,920,0.041,0.05,0.4,179,10.2,0.02,0.021,0.01,2.8,0.05,36.4
